Index,Epoch Info,Loss
556,1-6650/20565,3.2169
557,1-6700/20565,3.0251
558,1-6750/20565,3.4470
559,1-6800/20565,3.2741
560,1-6850/20565,3.0807
561,1-6900/20565,3.4650
562,1-6950/20565,3.3226
563,1-7000/20565,3.4470
564,1-7050/20565,3.8679
565,1-7100/20565,4.3924
566,1-7150/20565,3.2554
567,1-7200/20565,3.5888
568,1-7250/20565,3.6907
569,1-7300/20565,3.2618
570,1-7350/20565,3.2917
571,1-7400/20565,5.1259
572,1-7450/20565,2.3752
573,1-7500/20565,4.2103
574,1-7550/20565,3.9554
575,1-7600/20565,4.1406
576,1-7650/20565,3.1249
577,1-7700/20565,2.9622
578,1-7750/20565,2.6271
579,1-7800/20565,3.7386
580,1-7850/20565,3.3748
581,1-7900/20565,5.0892
582,1-7950/20565,2.8795
583,1-8000/20565,2.1149
584,1-8050/20565,4.8676
585,1-8100/20565,3.4720
586,1-8150/20565,2.7709
587,1-8200/20565,2.9491
588,1-8250/20565,3.5273
589,1-8300/20565,2.9602
590,1-8350/20565,3.7800
591,1-8400/20565,3.5735
592,1-8450/20565,4.4334
593,1-8500/20565,3.4392
594,1-8550/20565,3.3359
595,1-8600/20565,2.6990
596,1-8650/20565,2.9743
597,1-8700/20565,2.7834
598,1-8750/20565,3.2905
599,1-8800/20565,3.7426
600,1-8850/20565,3.1460
601,1-8900/20565,4.0075
602,1-8950/20565,4.5684
603,1-9000/20565,4.4001
604,1-9050/20565,3.3030
605,1-9100/20565,2.9595
606,1-9150/20565,3.1656
607,1-9200/20565,3.5243
608,1-9250/20565,3.5642
609,1-9300/20565,2.5341
610,1-9350/20565,3.1702
611,1-9400/20565,2.5114
612,1-9450/20565,3.0705
613,1-9500/20565,4.4256
614,1-9550/20565,3.3620
615,1-9600/20565,3.4211
616,1-9650/20565,5.3949
617,1-9700/20565,2.7697
618,1-9750/20565,4.7077
619,1-9800/20565,5.5766
620,1-9850/20565,4.1128
621,1-9900/20565,3.6097
622,1-9950/20565,4.6145
623,1-10000/20565,3.8764
624,1-10050/20565,2.5150
625,1-10100/20565,3.4027
626,1-10150/20565,3.1140
627,1-10200/20565,3.0355
628,1-10250/20565,2.9334
629,1-10300/20565,3.2904
630,1-10350/20565,3.9398
631,1-10400/20565,3.5083
632,1-10450/20565,3.2246
633,1-10500/20565,3.9247
634,1-10550/20565,3.6698
635,1-10600/20565,3.3407
636,1-10650/20565,2.9253
637,1-10700/20565,3.0197
638,1-10750/20565,3.3490
639,1-10800/20565,3.0672
640,1-10850/20565,2.5791
641,1-10900/20565,3.3024
642,1-10950/20565,3.0836
643,1-11000/20565,2.5331
644,1-11050/20565,3.3029
645,1-11100/20565,2.7946
646,1-11150/20565,3.3354
647,1-11200/20565,3.5305
648,1-11250/20565,3.0926
649,1-11300/20565,3.3222
650,1-11350/20565,2.5933
651,1-11400/20565,4.0272
652,1-11450/20565,4.1775
653,1-11500/20565,3.7176
654,1-11550/20565,2.4443
655,1-11600/20565,3.0229
656,1-11650/20565,3.2719
657,1-11700/20565,3.9269
658,1-11750/20565,1.6150
659,1-11800/20565,2.4158
660,1-11850/20565,3.7286
661,1-11900/20565,2.8963
662,1-11950/20565,3.2350
663,1-12000/20565,2.2377
664,1-12050/20565,2.7819
665,1-12100/20565,4.1224
666,1-12150/20565,2.6352
667,1-12200/20565,2.7373
668,1-12250/20565,3.0465
669,1-12300/20565,3.0743
670,1-12350/20565,2.9522
671,1-12400/20565,2.2627
672,1-12450/20565,3.6623
673,1-12500/20565,3.0628
674,1-12550/20565,3.1214
675,1-12600/20565,3.1707
676,1-12650/20565,3.6819
677,1-12700/20565,2.7659
678,1-12750/20565,3.6133
679,1-12800/20565,4.4943
680,1-12850/20565,4.3781
681,1-12900/20565,3.5468
682,1-12950/20565,4.1395
683,1-13000/20565,3.0297
684,1-13050/20565,3.8807
685,1-13100/20565,2.7812
686,1-13150/20565,3.7940
687,1-13200/20565,2.8090
688,1-13250/20565,2.2285
689,1-13300/20565,3.7215
690,1-13350/20565,4.6007
691,1-13400/20565,3.2734
692,1-13450/20565,3.3645
693,1-13500/20565,4.1125
694,1-13550/20565,3.0267
695,1-13600/20565,2.9992
696,1-13650/20565,3.4801
697,1-13700/20565,3.8766
698,1-13750/20565,2.9821
699,1-13800/20565,2.6735
700,1-13850/20565,2.7912
701,1-13900/20565,4.4817
702,1-13950/20565,3.0741
703,1-14000/20565,3.0742
704,1-14050/20565,3.1605
705,1-14100/20565,4.6146
706,1-14150/20565,2.8043
707,1-14200/20565,4.2303
708,1-14250/20565,2.9623
709,1-14300/20565,3.2531
710,1-14350/20565,3.3891
711,1-14400/20565,2.9312
712,1-14450/20565,3.1417
713,1-14500/20565,3.6773
714,1-14550/20565,3.4815
715,1-14600/20565,4.0085
716,1-14650/20565,2.6307
717,1-14700/20565,3.9098
718,1-14750/20565,2.7022
719,1-14800/20565,4.0240
720,1-14850/20565,2.4647
721,1-14900/20565,3.7634
722,1-14950/20565,2.7624
723,1-15000/20565,3.6753
724,1-15050/20565,2.6834
725,1-15100/20565,3.6398
726,1-15150/20565,3.2225
727,1-15200/20565,2.7096
728,1-15250/20565,3.5934
729,1-15300/20565,3.7434
730,1-15350/20565,4.4015
731,1-15400/20565,3.8174
732,1-15450/20565,3.4394
733,1-15500/20565,3.7147
734,1-15550/20565,3.7130
735,1-15600/20565,5.0236
736,1-15650/20565,2.5062
737,1-15700/20565,3.2526
738,1-15750/20565,3.2148
739,1-15800/20565,3.6046
740,1-15850/20565,2.3137
741,1-15900/20565,3.2823
742,1-15950/20565,3.8601
743,1-16000/20565,3.4497
744,1-16050/20565,3.2882
745,1-16100/20565,3.0651
746,1-16150/20565,3.7201
747,1-16200/20565,2.2816
748,1-16250/20565,2.8610
749,1-16300/20565,3.5513
750,1-16350/20565,3.5593
751,1-16400/20565,3.0489
752,1-16450/20565,4.0225
753,1-16500/20565,3.4957
754,1-16550/20565,3.1693
755,1-16600/20565,2.7804
756,1-16650/20565,2.5180
757,1-16700/20565,3.1127
758,1-16750/20565,2.8817
759,1-16800/20565,3.2206
760,1-16850/20565,3.6566
761,1-16900/20565,3.2311
